STT,Model,Tên Sản Phẩm,Thương Hiệu,Phân Loại,Giá Nhập (VNĐ),Giá NPP Online (VNĐ),Giá NPP Offline (VNĐ),Giá Facebook (VNĐ),Giá Sàn TMĐT (VNĐ),Giá Niêm Yết (VNĐ),LN NPP Online (VNĐ),% LN Online,LN NPP Offline (VNĐ),% LN Offline
"1","LK-30NC1","Nồi luộc gà Lock&King size 30","Lock&King","NỒI & BỘ NỒI","321000","414000","414000","750000","810000","975000","336000","44.8%","336000","44.8%"
"2","LK-32NC1","Nồi luộc gà Lock&King size 32","Lock&King","NỒI & BỘ NỒI","406600","470000","470000","830000","896400","1079000","360000","43.4%","360000","43.4%"
"3","LK-336A","Bộ nồi 3 Lock&King ( 18,20,24 )","Lock&King","NỒI & BỘ NỒI","411695","540000","540000","990000","1069200","1287000","450000","45.5%","450000","45.5%"
"4","LK-3018","Nồi lẻ Lock&king 18","Lock&King","NỒI & BỘ NỒI","133495","170000","170000","295000","319000","384000","125000","42.4%","125000","42.4%"
"5","LK-3020","Nồi lẻ Lock&king 20","Lock&King","NỒI & BỘ NỒI","149800","185000","185000","315000","340000","410000","130000","41.3%","130000","41.3%"
"6","LK-3024","Nồi lẻ Lock&king 24","Lock&King","NỒI & BỘ NỒI","187505","230000","230000","395000","434500","513500","165000","41.8%","165000","41.8%"
"7","LK-92","Nồi chiên không dầu Lock&king","Lock&King","NỒI & BỘ NỒI","727600","835000","835000","1590000","1701300","1908000","755000","47.5%","755000","47.5%"
"8","LK-9014","Nồi chiên không dầu Lock&king","Lock&King","NỒI & BỘ NỒI","936250","1130000","1130000","2190000","2343300","2628000","1060000","48.4%","1060000","48.4%"
"9","LK-1068","Ấm siêu tốc LK-1068","Lock&King","ẤM & BÌNH","256800","310000","340000","550000","646920","778700","240000","43.6%","210000","38.2%"
"10","LK-1035","Ấm đun nước LK-1035","Lock&King","ẤM & BÌNH","217057","275000","275000","549000","592920","713700","274000","49.9%","274000","49.9%"
"11","LK-1038","Ấm đun nước LK-1038","Lock&King","ẤM & BÌNH","235094","300000","300000","525000","567000","682500","225000","42.9%","225000","42.9%"
"12","LK-2808SA","Chảo sâu Titan vàng 28*9cm (2,3 mm) LK-2808SA","Lock&King","CHẢO","319135","431000","431000","760000","820800","988000","329000","43.3%","329000","43.3%"
"13","LK-2808SA KHÔNG NẮP","Chảo sâu Titan vàng 28*9cm (2,3 mm) LK-2808SA không nắp","Lock&King","CHẢO","300792","412000","412000","740000","799200","962000","328000","44.3%","328000","44.3%"
"14","LK-2202A","chảo cạn Titan vàng 22*5,5cm (2,2 mm) LK-2202A","Lock&King","CHẢO","193466","265000","265000","466960","513656","607048","201960","43.2%","201960","43.2%"
"15","LK-2404S","Chảo sâu Titan vàng 24*8,5cm (2,3 mm) LK-2404S","Lock&King","CHẢO","251705","360000","360000","649000","700920","843700","289000","44.5%","289000","44.5%"
"16","LK-2808","Chảo cạn Titan vàng 28*7cm (2,3 mm)","Lock&King","CHẢO","254000","351000","351000","630000","680400","819000","279000","44.3%","279000","44.3%"
"17","LK-3212","Chảo xào lớn","Lock&King","CHẢO","476000","645000","645000","1290000","1380300","1548000","645000","50.0%","645000","50.0%"
"18","LK-1003","Bộ đèn sưởi 3 bóng Lock&King","Lock&King","ĐỒ ĐIỆN","167990","197000","197000","354000","389400","460200","157000","44.4%","157000","44.4%"
"19","LK-1033","Bộ đèn sưởi 3 bóng Lock&King","Lock&King","ĐỒ ĐIỆN","306020","372000","372000","669600","723168","870480","297600","44.4%","297600","44.4%"
"20","LK-588","Sưởi gốm thân cao","Lock&King","ĐỒ ĐIỆN","468762","585000","585000","1050000","1123500","1260000","465000","44.3%","465000","44.3%"
"21","LK-586","Sưởi gốm thấp","Lock&King","ĐỒ ĐIỆN","366857","430000","430000","745000","804600","968500","315000","42.3%","315000","42.3%"
"22","LK-5301","Sưởi để bàn","Lock&King","ĐỒ ĐIỆN","468762","600000","600000","1190000","1273300","1428000","590000","49.6%","590000","49.6%"
"23","LK-4208A","Nồi Nấu Chậm Lock&King LK-4208A","Lock&King","NỒI & BỘ NỒI","405581","510000","510000","950000","1026000","1235000","440000","46.3%","440000","46.3%"
"24","LK-4026A","Nồi Nấu Chậm Lock&King LK-4026A","Lock&King","NỒI & BỘ NỒI","356667","440000","440000","850000","918000","1105000","410000","48.2%","410000","48.2%"
"25","LK-4209","Nồi Nấu Chậm Lock&King LK-4209","Lock&King","NỒI & BỘ NỒI","387583","510000","510000","950000","1026000","1235000","440000","46.3%","440000","46.3%"
"26","LK-688","Tủ sấy quần áo cao cấp Lock&king 2400W","Lock&King","ĐỒ ĐIỆN","727600","850000","850000","1690000","1808300","2028000","840000","49.7%","840000","49.7%"
"27","LK-668","Tủ sấy quần áo cao cấp Lock&king 1500W","Lock&King","ĐỒ ĐIỆN","395900","460000","460000","920000","993600","1196000","460000","50.0%","460000","50.0%"
"28","LK-3116","16*9CM Quánh liền khối titan (2.2mm) LK-3116","Lock&King","CHẢO","242533","325000","325000","689000","744120","895700","364000","52.8%","364000","52.8%"
"29","LK-3338","18+20+24CM Bộ nồi 3 liền khối kèm nắp (2.3mm) LK-3338","Lock&King","NỒI & BỘ NỒI","923257","1100000","1240000","2090000","2780930","3118800","990000","47.4%","850000","40.7%"
"30","LK-3118","18*10CM Nồi lẻ kèm nắp (2.3mm) LK-3118","Lock&King","NỒI & BỘ NỒI","277181","340000","372000","650000","841320","1012700","310000","47.7%","278000","42.8%"
"31","LK-3120","20*12CM Nồi lẻ kèm nắp (2.3mm) LK-3120","Lock&King","NỒI & BỘ NỒI","310810","390000","420000","740000","960120","1155700","350000","47.3%","320000","43.2%"
"32","LK-3124","24*14CM Nồi lẻ kèm nắp (2.3mm) LK-3124","Lock&King","NỒI & BỘ NỒI","371952","460000","500000","880000","1122430","1258800","420000","47.7%","380000","43.2%"
"33","LK-3126","26*14CM Nồi áp suất kèm xửng hấp đa năng (1.8mm) LK-3126","Lock&King","NỒI TĂNG ÁP","406600","535000","535000","990000","1069200","1287000","455000","46.0%","455000","46.0%"
"34","LK-3122","22*13.5CM Nồi áp suất kèm xửng hấp đa năng (1.8mm) LK-3122","Lock&King","NỒI TĂNG ÁP","368000","470000","470000","820000","885600","1066000","350000","42.7%","350000","42.7%"
"35","LK-6201","Nồi nấu lẩu đi kèm xửng hấp","Lock&King","NỒI & BỘ NỒI","536019","685000","685000","1290000","1380300","1548000","605000","46.9%","605000","46.9%"
"36","LK-4160","Nồi áp suất điện Lock&King LK-4160","Lock&King","NỒI TĂNG ÁP","828486","1000000","1080000","1880000","2514500","2820000","880000","46.8%","800000","42.6%"
