"STT","Thương Hiệu","Phân Loại","Model","Tên Sản Phẩm","Giá NPP Online","Giá Facebook","Giá TMĐT","Giá Niêm Yết","Lợi Nhuận NPP","% LN NPP / FB"
1,"Lock&King","CHẢO","LK-2202A","chảo cạn Titan vàng 22*5,5cm (2,2 mm) LK-2202A","265000","467000","491000","590000","202000","43.3%"
2,"Lock&King","CHẢO","LK-2433","Chảo Belly Lock&King","395000","750000","810000","972000","355000","47.3%"
3,"Lock&King","CHẢO","LK-2606A","Chảo cạn Titanium Lock&king 26cm","320000","590000","620000","744000","270000","45.8%"
4,"Lock&King","CHẢO","LK-2633","Chảo Belly Lock&King Titanium 26cm","450000","850000","918000","1102000","400000","47.1%"
5,"Lock&King","CHẢO","LK-2808","Chảo cạn Titan vàng 28*7cm (2,3 mm)","351000","630000","662000","795000","279000","44.3%"
6,"Lock&King","CHẢO","LK-2808SA KHÔNG NẮP","Chảo sâu Titan vàng 28*9cm (2,3 mm) LK-2808SA KHÔNG NẮP","350000","650000","683000","820000","300000","46.2%"
7,"Lock&King","CHẢO","LK-3003","Chảo cạn titanium Lock&King 30cm","375000","750000","788000","946000","375000","50.0%"
8,"Lock&King","CHẢO","LK-3212","Chảo xào lớn","645000","1290000","1394000","1673000","645000","50.0%"
9,"Lock&King","NỒI & BỘ NỒI","LK-30NC1","Nồi luộc gà Lock&King size 30","414000","750000","788000","946000","336000","44.8%"
10,"Lock&King","NỒI & BỘ NỒI","LK-32NC1","Nồi luộc gà Lock&King size 32","470000","830000","872000","1047000","360000","43.4%"
11,"Lock&King","NỒI & BỘ NỒI","LK-336A","Bộ nồi 3 Lock&King ( 18,20,24 )","540000","990000","1040000","1248000","450000","45.5%"
12,"Lock&King","NỒI & BỘ NỒI","LK-3018A","Nồi lẻ Lock&king 18","170000","295000","310000","372000","125000","42.4%"
13,"Lock&King","NỒI & BỘ NỒI","LK-3020A","Nồi lẻ Lock&king 20","185000","315000","331000","398000","130000","41.3%"
14,"Lock&King","NỒI & BỘ NỒI","LK-3024","Nồi lẻ Lock&king 24","230000","395000","415000","498000","165000","41.8%"
15,"Lock&King","NỒI & BỘ NỒI","LK-3116","16*9CM Quánh liền khối titan (2.2mm) LK-3116","325000","630000","662000","795000","305000","48.4%"
16,"Lock&King","NỒI & BỘ NỒI","LK-3118","18*10CM Nồi lẻ kèm nắp (2.3mm) LK-3118","340000","650000","683000","820000","310000","47.7%"
17,"Lock&King","NỒI & BỘ NỒI","LK-3120","20*12CM Nồi lẻ kèm nắp (2.3mm) LK-3120","390000","740000","777000","933000","350000","47.3%"
18,"Lock&King","NỒI & BỘ NỒI","LK-3124","24*14CM Nồi lẻ kèm nắp (2.3mm) LK-3124","460000","880000","924000","1109000","420000","47.7%"
19,"Lock&King","NỒI & BỘ NỒI","LK-3338","18+20+24CM Bộ nồi 3 liền khối kèm nắp (2.3mm) LK-3338","1100000","2090000","2195000","2634000","990000","47.4%"
20,"Lock&King","NỒI & BỘ NỒI","LK-3386A","Bộ nồi 3 Inox 5 đáy Lock&king (18.20.24) (1t/4c)","550000","990000","1040000","1248000","440000","44.4%"
21,"Lock&King","NỒI & BỘ NỒI","LK-3568A","Bộ nồi 5 Inox 5 đáy Lock&king (Q16.18.20.24.C24) (1t/2c)","960000","1690000","1775000","2130000","730000","43.2%"
22,"Lock&King","NỒI TĂNG ÁP","LK-3122","22*13.5CM Nồi áp suất kèm xửng hấp đa năng (1.8mm) LK-3122","470000","820000","886000","1064000","350000","42.7%"
23,"Lock&King","NỒI TĂNG ÁP","LK-3126","26*14CM Nồi áp suất kèm xửng hấp đa năng (1.8mm) LK-3126","535000","990000","1070000","1284000","455000","46.0%"
24,"Lock&King","ẤM & BÌNH","LK-1038","Ấm đun nước LK-1038","300000","525000","552000","663000","225000","42.9%"
25,"Lock&King","ĐỒ ĐIỆN","LK-92","Nồi chiên không dầu Lock&king","835000","1590000","1670000","2004000","755000","47.5%"
26,"Lock&King","ĐỒ ĐIỆN","LK-586","Sưởi gốm thấp","430000","745000","783000","940000","315000","42.3%"
27,"Lock&King","ĐỒ ĐIỆN","LK-588","Sưởi gốm thân cao","585000","1050000","1103000","1324000","465000","44.3%"
28,"Lock&King","ĐỒ ĐIỆN","LK-668","Tủ sấy quần áo cao cấp Lock&king 1500W","460000","920000","966000","1160000","460000","50.0%"
29,"Lock&King","ĐỒ ĐIỆN","LK-688","Tủ sấy quần áo cao cấp Lock&king 2400W","850000","1690000","1775000","2130000","840000","49.7%"
30,"Lock&King","ĐỒ ĐIỆN","LK-1003","Bộ đèn sưởi 3 bóng Lock&King","197000","354000","372000","447000","157000","44.4%"
31,"Lock&King","ĐỒ ĐIỆN","LK-1030","Bình thủy điện 3L Lock&King (4c/t)","1020000","1890000","1985000","2382000","870000","46.0%"
32,"Lock&King","ĐỒ ĐIỆN","LK-1033","Bộ đèn sưởi 3 bóng Lock&King","372000","670000","704000","845000","298000","44.5%"
33,"Lock&King","ĐỒ ĐIỆN","LK-1050","Bình Thủy Điện Lock&King LK-1050","780000","1495000","1570000","1884000","715000","47.8%"
34,"Lock&King","ĐỒ ĐIỆN","LK-1068","Ấm siêu tốc LK-1068","310000","599000","629000","755000","289000","48.2%"
